,playId,defenseTeam,areaDifference,numberPlayersDeep,numberPlayersDeepDifference,numberPlayersUnderneath,densityDifference,heightDifference,widthDifference,cluster,homeScore,visitorScore,down,quarter,yardsToGo,yardsToEndZone,gameClock,defenseValoration
0,2018090600:190:1,PHI,55.82549999999992,1,1,5,0.1074777655372546,2.760000000000005,-10.149999999999991,0.0,0.0,0.0,3,1,10,39.0,13:01:00,0
2,2018090600:344:1,ATL,7.821499999999986,1,1,6,0.8949689957169357,-0.3599999999999959,-12.149999999999997,0.0,0.0,0.0,3,1,4,102.0,09:24:00,1
4,2018090600:949:1,PHI,64.43249999999998,1,1,6,0.1086408256702751,1.6400000000000006,-6.25,0.0,0.0,3.0,3,2,12,92.0,15:00:00,1
5,2018090600:1037:1,ATL,164.0950000000001,2,1,4,0.0365641853804198,5.409999999999995,-9.520000000000014,1.0,0.0,3.0,3,2,7,57.0,12:53:00,0
8,2018090600:1801:1,ATL,126.9149999999999,1,0,6,0.0551550250167435,2.640000000000001,-12.519999999999996,0.0,3.0,6.0,3,2,3,64.0,01:35:00,1
9,2018090600:1940:1,PHI,66.08339999999981,1,0,6,0.1059267531634271,5.159999999999997,-9.300000000000004,0.0,3.0,6.0,3,2,3,79.0,00:48:00,1
10,2018090600:2116:1,ATL,99.02915000000002,2,2,5,0.070686257531242,5.3500000000000085,-8.919999999999987,0.0,3.0,6.0,3,2,5,82.0,00:17:00,1
11,2018090600:2382:1,ATL,-6.272749999999718,0,0,6,-0.9565182734845594,-0.0299999999999922,-10.029999999999983,0.0,3.0,6.0,3,3,9,58.0,12:51:00,1
12,2018090600:2575:1,PHI,159.69854999999995,3,0,4,0.0438325833265236,7.420000000000002,1.3600000000000063,0.0,3.0,6.0,3,3,22,90.0,10:57:00,1
13,2018090600:2736:1,ATL,-42.333000000000055,1,0,5,-0.1417333994755862,7.260000000000005,-7.949999999999989,0.0,3.0,6.0,3,3,5,41.0,07:41:00,0
14,2018090600:2811:1,ATL,63.09109999999996,2,2,3,0.0792504806541652,1.08,-12.98,1.0,3.0,6.0,3,3,8,24.0,06:00:00,0
15,2018090600:3004:1,PHI,53.97979999999998,1,1,5,0.1111526904508724,1.730000000000004,-9.959999999999994,1.0,10.0,6.0,3,3,10,70.0,02:48:00,1
16,2018090600:3095:1,ATL,-20.1707499999996,1,1,4,-0.2478836929712628,-2.4599999999999795,-17.18999999999997,1.0,10.0,6.0,3,3,6,80.0,01:41:00,1
17,2018090600:3203:1,PHI,13.535499999999928,0,0,7,0.5171585829854853,-0.7700000000000031,-10.260000000000003,0.0,10.0,6.0,3,3,6,80.0,00:40:00,1
19,2018090600:3626:1,ATL,127.64610000000002,2,2,5,0.0548391216026184,0.3099999999999951,-11.680000000000009,1.0,10.0,6.0,3,4,4,79.0,10:35:00,0
20,2018090600:3678:1,ATL,216.28965,3,3,4,0.0323640081714497,7.640000000000004,-6.579999999999991,1.0,10.0,12.0,3,4,14,89.0,07:59:00,1
21,2018090600:3844:1,PHI,253.99375,5,1,2,0.027559733261153,8.500000000000014,2.0900000000000176,1.0,10.0,12.0,3,4,28,85.0,05:45:00,1
22,2018090600:3950:1,ATL,109.60225000000004,3,2,5,0.0729912022791502,3.1299999999999955,-11.450000000000005,1.0,10.0,12.0,3,4,8,62.0,04:41:00,0
23,2018090600:4258:1,PHI,229.0454,3,2,4,0.0305616266469442,6.399999999999992,-1.960000000000015,0.0,18.0,12.0,3,4,17,40.0,01:25:00,0
26,2018090900:553:1,BUF,-61.006350000000026,1,1,4,-0.0819586813503839,-2.549999999999997,-15.249999999999991,0.0,7.0,0.0,3,1,9,84.0,06:41:00,1
27,2018090900:646:1,BAL,46.10270000000003,2,1,5,0.1518349250694644,1.019999999999996,-14.340000000000003,0.0,7.0,0.0,3,1,7,82.0,05:48:00,1
28,2018090900:742:1,BUF,184.19060000000027,4,4,3,0.0380041109589739,7.180000000000007,-5.579999999999991,0.0,7.0,0.0,3,1,7,73.0,04:56:00,1
31,2018090900:1204:1,BUF,79.27364999999998,3,2,3,0.0756871924025196,7.749999999999998,-7.470000000000002,0.0,14.0,0.0,3,2,13,23.0,13:28:00,1
32,2018090900:1338:1,BAL,71.38139999999999,1,1,5,0.084055510258975,4.399999999999999,-7.359999999999999,1.0,17.0,0.0,3,2,14,89.0,12:13:00,1
33,2018090900:1425:1,BUF,380.35274999999984,2,1,5,0.0184039684214193,5.75,-10.54,0.0,17.0,0.0,3,2,5,65.0,10:30:00,1
34,2018090900:1737:1,BUF,-51.78740000000005,2,0,5,-0.1351680138412045,-2.8500000000000014,-18.989999999999995,0.0,17.0,0.0,3,2,17,65.0,07:19:00,1
35,2018090900:1869:1,BAL,102.20130000000007,3,3,3,0.0587076681020691,8.91,-3.75,0.0,17.0,0.0,3,2,8,92.0,05:50:00,1
36,2018090900:2312:1,BUF,162.07644999999985,2,2,5,0.0431894948340737,2.890000000000004,-10.709999999999994,0.0,20.0,0.0,3,2,6,32.0,00:41:00,0
37,2018090900:2594:1,BAL,62.71920000000006,1,0,4,0.0797204045969973,1.2800000000000011,-17.959999999999994,0.0,26.0,0.0,3,3,8,71.0,14:02:00,1
38,2018090900:2845:1,BAL,-59.61280000000011,1,0,5,-0.1006495249342421,-2.8000000000000043,-20.010000000000005,2.0,33.0,0.0,3,3,11,84.0,11:39:00,1
39,2018090900:3210:1,BAL,269.1474000000001,2,2,4,0.0222926173539108,11.790000000000006,2.710000000000008,0.0,40.0,0.0,3,3,7,45.0,06:37:00,0
40,2018090900:3629:1,BUF,321.4362999999999,3,3,3,0.0186662178478286,12.470000000000004,2.7300000000000075,0.0,40.0,3.0,3,4,5,69.0,14:52:00,1
41,2018090900:3748:1,BAL,214.72430000000003,6,4,1,0.0325999432760987,14.029999999999994,-5.310000000000009,0.0,40.0,3.0,3,4,19,91.0,13:49:00,0
42,2018090900:3829:1,BAL,106.83194999999996,1,1,5,0.0561629737171324,7.199999999999996,-2.490000000000009,0.0,40.0,3.0,3,4,8,65.0,12:10:00,1
43,2018090900:4093:1,BUF,233.8145500000001,3,3,4,0.0299382566226096,8.92,-3.5300000000000047,0.0,40.0,3.0,3,4,15,56.0,05:22:00,0
44,2018090900:4303:1,BAL,102.08014999999996,3,2,3,0.0587773430975562,7.939999999999998,-9.270000000000003,0.0,47.0,3.0,3,4,12,53.0,03:08:00,1
45,2018090901:96:1,CLE,-7.444299999999941,1,0,4,-0.6716548231532904,-0.1799999999999997,-18.04,0.0,0.0,0.0,3,1,2,77.0,13:37:00,1
46,2018090901:291:1,PIT,99.97510000000014,2,2,6,0.0800199249613152,2.980000000000004,-8.699999999999996,0.0,0.0,0.0,3,1,6,48.0,10:18:00,1
47,2018090901:439:1,CLE,-36.93410000000023,1,0,6,-0.1895267517010014,-2.120000000000008,-21.930000000000007,0.0,0.0,0.0,3,1,9,67.0,08:05:00,1
48,2018090901:566:1,PIT,154.18704999999977,3,3,3,0.0389137738869769,9.970000000000006,-0.6699999999999946,0.0,0.0,0.0,3,1,9,75.0,06:41:00,1
49,2018090901:680:1,CLE,73.93619999999987,1,0,5,0.081151046442744,3.1700000000000017,-16.549999999999997,0.0,0.0,0.0,3,1,5,55.0,06:15:00,0
50,2018090901:854:1,PIT,-73.47940000000023,1,1,6,-0.0952647953031731,-1.980000000000004,-15.040000000000006,0.0,0.0,0.0,3,1,10,74.0,02:11:00,1
51,2018090901:977:1,CLE,55.42190000000005,3,2,2,0.0902170441648517,-0.2199999999999988,-18.56,0.0,0.0,0.0,3,1,2,90.0,00:32:00,0
53,2018090901:1373:1,PIT,-73.97394999999986,1,0,5,-0.0811096338643537,2.75,-13.019999999999996,0.0,0.0,7.0,3,2,9,52.0,10:03:00,1
54,2018090901:1452:1,PIT,39.97040000000004,0,0,6,0.1501110822008284,6.260000000000019,-1.4699999999999704,0.0,0.0,7.0,3,2,6,43.0,07:46:00,1
55,2018090901:2800:1,PIT,179.17180000000002,3,3,3,0.0334874126397122,10.600000000000009,-2.839999999999989,0.0,7.0,21.0,3,3,7,86.0,04:41:00,0
56,2018090901:2885:1,PIT,92.27880000000002,1,0,5,0.0650203513699787,2.210000000000001,-14.119999999999996,0.0,7.0,21.0,3,3,10,47.0,03:40:00,1
57,2018090901:2972:1,CLE,-46.36514999999994,1,0,4,-0.1078396166085951,-2.000000000000004,-21.300000000000004,1.0,7.0,21.0,3,3,4,90.0,02:06:00,0
58,2018090901:3038:1,CLE,-80.6062999999998,1,0,5,-0.0744358691566293,-0.5599999999999952,-20.379999999999995,0.0,7.0,21.0,3,3,4,78.0,00:09:00,0
59,2018090901:3325:1,PIT,64.72185000000007,4,4,3,0.1081551284458029,1.75,-12.75,0.0,7.0,21.0,3,4,15,85.0,11:30:00,1
60,2018090901:3441:1,CLE,17.713949999999784,2,0,5,0.3951687794083242,0.8799999999999955,-17.760000000000005,0.0,7.0,21.0,3,4,13,89.0,08:56:00,1
61,2018090901:3644:1,PIT,110.35449999999976,1,1,5,0.0543702341091664,4.679999999999978,-7.400000000000034,0.0,7.0,21.0,3,4,10,33.0,07:58:00,1
62,2018090901:3938:1,PIT,160.36335000000008,1,0,5,0.0374150327989531,3.0900000000000034,-14.159999999999997,0.0,14.0,21.0,3,4,12,49.0,05:28:00,1
63,2018090901:4020:1,CLE,20.20679999999993,1,0,6,0.3464180374923305,-0.2700000000000102,-19.840000000000018,0.0,14.0,21.0,3,4,1,86.0,03:56:00,0
64,2018090901:4311:1,CLE,-85.4995000000003,1,0,4,-0.0584798741513106,-3.3300000000000054,-21.63000000000001,0.0,21.0,21.0,3,4,10,69.0,01:44:00,1
65,2018090901:4414:1,PIT,338.4113,4,3,3,0.0206848884774237,11.059999999999995,-4.700000000000003,0.0,21.0,21.0,3,4,7,78.0,01:00:00,0
66,2018090901:4620:1,PIT,93.26994999999997,0,0,6,0.0643294008413213,2.309999999999995,-6.640000000000008,0.0,21.0,21.0,3,5,1,76.0,08:54:00,1
67,2018090901:4809:1,CLE,10.634600000000148,2,0,5,0.6582288003309859,-1.6600000000000108,-25.64000000000001,0.0,21.0,21.0,3,5,30,82.0,06:14:00,1
68,2018090901:4924:1,PIT,87.97464999999994,2,2,4,0.068201464853796,2.719999999999999,-11.200000000000005,0.0,21.0,21.0,3,5,11,92.0,04:50:00,1
69,2018090901:5150:1,CLE,97.54040000000008,2,0,5,0.0717651352670277,1.3000000000000007,-13.5,0.0,21.0,21.0,3,5,9,30.0,01:54:00,1
70,2018090901:5276:1,PIT,100.60650000000015,4,3,2,0.0596382937484157,10.19,-7.899999999999999,0.0,21.0,21.0,3,5,10,78.0,01:36:00,1
71,2018090902:372:1,IND,-9.559450000000368,2,2,5,-0.7322597011334052,2.259999999999991,-9.600000000000009,0.0,0.0,0.0,3,1,12,34.0,08:30:00,1
72,2018090902:527:1,CIN,84.43445000000008,1,1,6,0.0829045490318228,3.430000000000007,-7.089999999999989,0.0,0.0,3.0,3,1,2,52.0,06:03:00,0
73,2018090902:1040:1,CIN,32.00199999999995,1,1,5,0.1874882819823763,1.3300000000000125,-9.59999999999998,0.0,3.0,3.0,3,2,8,55.0,13:31:00,0
74,2018090902:1326:1,CIN,-22.29604999999998,1,1,5,-0.2691059627153691,-1.8100000000000025,-14.730000000000004,0.0,10.0,3.0,3,2,5,83.0,08:48:00,0
75,2018090902:1472:1,CIN,71.28969999999993,1,1,6,0.0981909027531327,4.200000000000003,-5.3700000000000045,0.0,10.0,3.0,3,2,3,48.0,05:10:00,0
77,2018090902:2316:1,IND,121.89674999999994,4,2,3,0.0574256491662001,4.619999999999997,-8.090000000000003,0.0,16.0,10.0,3,3,24,91.0,12:19:00,1
78,2018090902:2481:1,CIN,-32.23044999999976,1,1,5,-0.1861593617216031,-0.5700000000000021,-11.920000000000002,0.0,16.0,10.0,3,3,3,32.0,09:52:00,0
