pairs,predict_proba
"(496733.0, 2560712.0)",24.226761163358994
"(2556559.0, 2560712.0)",22.324687437387862
"(2532946.0, 2560712.0)",22.32453488729874
"(2555386.0, 2560712.0)",22.120347109241802
"(496733.0, 2532946.0)",22.095716043769002
"(496733.0, 2556559.0)",21.38940452149328
"(2550164.0, 2552389.0)",21.239472652492992
"(496733.0, 2555386.0)",21.06222302373776
"(2555386.0, 2556559.0)",20.351075573759065
"(496727.0, 2560712.0)",20.262978794859762
"(496727.0, 2556559.0)",19.99932230116572
"(2532946.0, 2555386.0)",19.95846705778736
"(496727.0, 496733.0)",19.548534308855096
"(496727.0, 2555386.0)",19.306267803095974
"(2532946.0, 2556559.0)",19.10741267308297
"(496727.0, 2532946.0)",18.61232285577882
"(2540155.0, 2555177.0)",17.62824313620503
"(2532946.0, 2535613.0)",17.389102879003232
"(2532948.0, 2540155.0)",17.011735143232592
"(2532948.0, 2555177.0)",16.985732965607344
"(2495775.0, 2508004.0)",16.96002099712617
"(2535613.0, 2556559.0)",16.926774969115872
"(496733.0, 2535613.0)",16.57538957400565
"(2535613.0, 2560712.0)",16.57538957400565
"(494289.0, 2543681.0)",15.84474235320669
"(494289.0, 2552385.0)",15.712827459589663
"(2532848.0, 2555280.0)",15.673869552700713
"(2539943.0, 2558136.0)",15.386064964408375
"(2508004.0, 2540164.0)",15.164819741089762
"(2550164.0, 2556475.0)",15.05097490105555
"(2532948.0, 2552312.0)",15.004662196966986
"(2495775.0, 2540164.0)",14.937856654324376
"(2532961.0, 2560877.0)",14.772679306387522
"(2540155.0, 2552312.0)",14.52989963917151
"(2535613.0, 2555386.0)",14.50622569440699
"(2532848.0, 2555329.0)",14.480294748285573
"(2555280.0, 2555329.0)",14.40380740372256
"(2552488.0, 2556277.0)",14.354767094072512
"(2543505.0, 2556278.0)",14.302029713655255
"(2532920.0, 2539943.0)",14.282567592215353
"(2539240.0, 2539290.0)",14.216914698107317
"(2552488.0, 2558183.0)",14.20365497679607
"(2495281.0, 2539943.0)",14.186671795147697
