,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,gameId,playId,playDirection,route
0,2018-12-14T01:23:55.400Z,79.82,24.76,4.95,2.71,0.5,159.18,152.45,None,496723.0,Eric Berry,29.0,SS,1,home,2018121300,84,left,
1,2018-12-14T01:23:55.400Z,89.06,22.81,1.74,4.09,0.2,253.9,199.21,None,2495288.0,Virgil Green,88.0,TE,1,away,2018121300,84,left,
2,2018-12-14T01:23:55.400Z,86.28,32.45,0.01,0.01,0.0,122.22,69.31,None,2495493.0,Justin Houston,50.0,OLB,1,home,2018121300,84,left,
3,2018-12-14T01:23:55.400Z,91.54,27.3,0.11,0.09,0.0,275.04,341.42,None,2506121.0,Philip Rivers,17.0,QB,1,away,2018121300,84,left,
4,2018-12-14T01:23:55.400Z,79.44,44.93,0.33,0.41,0.03,85.63,319.27,None,2530794.0,Ron Parker,38.0,FS,1,home,2018121300,84,left,
5,2018-12-14T01:23:55.400Z,87.77,34.19,0.0,0.0,0.0,247.41,193.29,None,2540154.0,Keenan Allen,13.0,WR,1,away,2018121300,84,left,OUT
6,2018-12-14T01:23:55.400Z,82.19,10.34,0.03,0.03,0.01,58.21,180.35,None,2543592.0,Anthony Hitchens,53.0,MLB,1,home,2018121300,84,left,
7,2018-12-14T01:23:55.400Z,80.54,16.13,0.36,0.32,0.03,56.2,294.19,None,2552265.0,Steven Nelson,20.0,CB,1,home,2018121300,84,left,
8,2018-12-14T01:23:55.400Z,87.24,16.82,0.0,0.0,0.0,283.71,169.42,None,2553913.0,Tyrell Williams,16.0,WR,1,away,2018121300,84,left,POST
9,2018-12-14T01:23:55.400Z,85.49,26.35,0.2,1.15,0.01,92.18,95.85,None,2555169.0,Reggie Ragland,59.0,ILB,1,home,2018121300,84,left,
10,2018-12-14T01:23:55.400Z,88.74,47.88,0.0,0.0,0.0,85.89,224.41,None,2555220.0,Derek Watt,34.0,FB,1,away,2018121300,84,left,GO
11,2018-12-14T01:23:55.400Z,79.75,33.56,0.16,0.14,0.02,102.1,55.04,None,2555349.0,Kendall Fuller,23.0,CB,1,home,2018121300,84,left,
12,2018-12-14T01:23:55.400Z,88.59,10.69,0.0,0.0,0.0,286.33,247.25,None,2560756.0,Justin Jackson,32.0,RB,1,away,2018121300,84,left,SLANT
13,2018-12-14T01:23:55.400Z,86.76,27.22,0.0,0.0,0.0,,,None,,Football,,,1,football,2018121300,84,left,
840,2018-12-14T01:25:13.799Z,62.93,13.85,1.0,0.09,0.1,312.63,106.39,None,2532861.0,Casey Hayward,26.0,CB,1,away,2018121300,111,right,
841,2018-12-14T01:25:13.799Z,59.6,35.1,0.0,0.0,0.0,98.99,345.55,None,2540258.0,Travis Kelce,87.0,TE,1,home,2018121300,111,right,FLAT
842,2018-12-14T01:25:13.799Z,76.06,28.78,3.59,0.84,0.35,241.39,175.39,None,2541958.0,Jahleel Addae,37.0,SS,1,away,2018121300,111,right,
843,2018-12-14T01:25:13.799Z,56.1,32.59,0.0,0.0,0.0,91.41,127.28,None,2550512.0,Damien Williams,26.0,RB,1,home,2018121300,111,right,FLAT
844,2018-12-14T01:25:13.799Z,65.64,29.54,0.07,0.05,0.04,264.73,72.08,None,2550842.0,Adrian Phillips,31.0,SS,1,away,2018121300,111,right,
845,2018-12-14T01:25:13.799Z,60.28,37.36,0.0,0.0,0.0,87.14,310.15,None,2552652.0,Chris Conley,17.0,WR,1,home,2018121300,111,right,HITCH
846,2018-12-14T01:25:13.799Z,60.0,14.49,0.0,0.0,0.0,86.4,154.09,None,2555478.0,Demarcus Robinson,11.0,WR,1,home,2018121300,111,right,GO
847,2018-12-14T01:25:13.799Z,64.71,30.79,4.33,0.87,0.44,218.79,181.33,None,2556148.0,Jatavis Brown,57.0,OLB,1,away,2018121300,111,right,
848,2018-12-14T01:25:13.799Z,57.68,27.8,6.78,1.15,0.68,158.88,179.1,None,2556214.0,Tyreek Hill,10.0,WR,1,home,2018121300,111,right,HITCH
849,2018-12-14T01:25:13.799Z,63.88,29.13,6.14,0.83,0.62,210.78,176.58,None,2557927.0,Desmond King,20.0,CB,1,away,2018121300,111,right,
850,2018-12-14T01:25:13.799Z,56.74,30.1,0.0,0.0,0.01,80.56,116.43,None,2558125.0,Patrick Mahomes,15.0,QB,1,home,2018121300,111,right,
851,2018-12-14T01:25:13.799Z,67.63,40.18,0.2,0.32,0.02,225.3,213.22,None,2559164.0,Michael Davis,43.0,CB,1,away,2018121300,111,right,
852,2018-12-14T01:25:13.799Z,62.85,24.39,2.15,2.86,0.2,314.99,15.87,None,2560760.0,Derwin James,33.0,S,1,away,2018121300,111,right,
853,2018-12-14T01:25:13.799Z,60.79,30.01,0.0,0.0,0.0,,,None,,Football,,,1,football,2018121300,111,right,
1792,2018-12-14T01:26:33.299Z,88.24,39.84,0.46,1.2,0.04,232.06,23.2,None,2532861.0,Casey Hayward,26.0,CB,1,away,2018121300,164,right,
1793,2018-12-14T01:26:33.299Z,83.13,16.75,0.0,0.0,0.0,84.6,342.9,None,2540258.0,Travis Kelce,87.0,TE,1,home,2018121300,164,right,HITCH
1794,2018-12-14T01:26:33.299Z,81.46,21.41,4.75,1.72,0.48,155.39,181.74,None,2541187.0,Demetrius Harris,84.0,TE,1,home,2018121300,164,right,FLAT
1795,2018-12-14T01:26:33.299Z,100.03,30.24,0.04,0.02,0.0,259.42,159.84,None,2541958.0,Jahleel Addae,37.0,SS,1,away,2018121300,164,right,
