id,defensivelinezonePlayers,deepzonePlayers,hookzonePlayers,curlzonePlayers,flatzonePlayers,defenseArea,defenseAreaCoverDefenders,width,height,numberQBs,numberWRs,numberTEs,numberRBs,numberFBs,numberOffensivePlayersAnotherPosition,numberSafeties,numberLBs,numberCBs,strongSide,numberPlayersDefenseStrongSide,numberPlayersDefenseWeakSide,numberPlayersOffenseStrongSide,numberPlayersOffenseWeakSide,differenceOffenseVsDefenseWidth,differenceOffenseVsDefenseStrongSide,differenceOffenseVsDefenseWeakSide,HeightByWeightDeep,HeightByWeightHook,HeightByWeightCurl,HeightByWeightFlat,WeightByArea,density,densityNoLine,densityInsidePoints,densityInsidePointsNoLine,cluster,playResult
2018090600:75:1,0,1,3,2,1,194.31095000000005,194.31095000000005,22.96,15.25,1,2,1,1,1,0,3,2,2,1,3,4,3,2,-0.6300000000000026,0,-2,0.0202272727272727,0.0186428134853,0.020065982404692,0.0210344827586206,3.3760320764218377,0.036024732522794,0.036024732522794,6.974268048198004,6.974268048198004,0,10
2018090600:146:1,0,1,3,2,1,204.17725000000007,204.17725000000007,29.22,12.57,1,3,1,1,0,0,2,2,3,0,3,4,2,3,-1.150000000000002,-1,-1,0.0202272727272727,0.0192279052912743,0.0203559510567297,0.0204545454545454,3.1786107414023834,0.0342839371183616,0.0342839371183616,6.975511473486884,6.975511473486884,2,0
2018090600:168:1,0,1,2,2,2,277.65495,277.65495,33.67,15.21,1,2,1,2,0,0,2,2,3,1,5,2,4,1,0.7100000000000009,-1,-1,0.0202272727272727,0.0176833213515456,0.0209972462627852,0.020744514106583,2.33743356637438,0.0252111478653631,0.0252111478653631,6.985593629791222,6.985593629791222,0,0
2018090600:320:1,1,0,3,3,1,187.1251,153.2002,27.8,13.29,1,3,1,1,0,0,2,3,3,1,3,5,3,2,-4.82,0,-3,0.0,0.0189949915241177,0.0195365646258503,0.0212790697674418,4.2819787441530766,0.0427521481618446,0.0456918463552919,7.978623925919077,7.980417780133447,6,4
2018090600:344:1,1,0,3,2,2,216.25455,215.8035,36.24,11.79,1,2,2,1,0,0,2,3,3,0,5,3,3,2,-0.3600000000000065,-2,-1,0.0,0.018343064086476,0.0196875,0.021234772978959,3.0398024128431653,0.0369934412940675,0.0324369159907045,7.972254919029449,7.976830774292353,1,0
2018090600:402:1,0,1,2,4,0,188.29835000000008,188.29835000000008,25.55,13.71,1,3,1,1,0,0,2,2,3,1,5,2,4,1,-3.16,-1,-1,0.0196774193548387,0.0176833213515456,0.0210083435277926,0.0,3.4466579234496733,0.0371750469401351,0.0371750469401351,6.973446395042759,6.973446395042759,3,0
2018090600:752:1,1,0,3,2,2,233.4782500000001,185.9632,36.4,12.46,1,3,1,1,0,0,2,3,3,1,4,4,3,2,-0.2899999999999991,-1,-2,0.0,0.0189949915241177,0.0187096088435374,0.021234772978959,3.527579650167345,0.0342644336249736,0.0376418560231271,7.982867783187512,7.973112959983482,6,6
2018090600:839:1,3,0,1,3,1,195.11485,170.9243,29.300000000000004,13.18,1,3,1,1,0,0,2,3,3,1,3,5,2,3,-0.990000000000002,-1,-2,0.0,0.0208333333333333,0.0195365646258503,0.0212790697674418,2.6210433507699022,0.0410014921980566,0.029252715968414,7.969248880851457,7.982448370418951,6,-6
2018090600:889:1,0,1,3,2,1,196.79850000000005,196.79850000000005,28.74,13.599999999999996,1,2,1,1,1,0,2,3,2,0,3,4,2,3,-0.2500000000000035,-1,-1,0.0202272727272727,0.0183480206859766,0.0195557029177718,0.0204545454545454,3.409578833172,0.0355693767991117,0.0355693767991117,6.97967464182908,6.97967464182908,2,0
2018090600:992:1,0,0,4,3,0,107.08859999999994,107.08859999999994,22.12,10.579999999999991,1,2,2,1,0,0,2,3,2,0,3,4,1,4,-4.829999999999998,-2,0,0.0,0.0188651277351866,0.020220007382798,0.0,6.200473252988651,0.0653664348959646,0.0653664348959646,6.962647751488019,6.962647751488019,5,1
2018090600:1037:1,2,1,2,2,0,154.20594999999994,142.05489999999986,19.93,14.930000000000009,1,3,1,1,0,0,2,2,3,1,4,3,3,2,-0.5599999999999952,-1,-1,0.0208333333333333,0.0187096088435374,0.021234772978959,0.0,3.1537102908805013,0.0453938385645949,0.0351976594964341,6.974060663677374,6.97888140430214,3,10
2018090600:1061:1,0,1,2,2,2,218.86464999999984,218.86464999999984,37.49,14.46,1,3,1,1,0,0,2,2,3,1,3,4,3,2,-0.3699999999999974,0,-2,0.0208333333333333,0.0180758206195099,0.0187096088435374,0.021234772978959,2.9972862223296475,0.0319832371285175,0.0319832371285175,6.977154830622487,6.977154830622487,0,6
2018090600:1085:1,2,1,1,2,2,251.52600000000007,217.5158,33.83,15.079999999999998,1,3,1,1,0,0,2,3,3,1,3,5,2,3,-0.0900000000000034,-1,-2,0.0208333333333333,0.0179611650485436,0.0187096088435374,0.021234772978959,2.5331493160496845,0.0318058570485754,0.0275842030785809,7.984097071475714,7.98620789846071,0,10
2018090600:1546:1,1,1,2,1,2,244.9338000000001,206.80189999999988,33.71,14.160000000000007,1,3,0,2,0,0,2,2,3,1,5,2,3,2,1.240000000000002,-2,0,0.0196774193548387,0.0176833213515456,0.0223170731707317,0.020744514106583,2.7127410338106195,0.0285791507746174,0.0290132730888836,6.979586320875272,6.980657817940744,0,0
2018090600:1628:1,1,0,3,2,2,187.5656999999996,177.72284999999985,33.59,10.959999999999996,1,3,1,1,0,0,2,3,3,0,4,4,3,2,-0.0999999999999943,-1,-2,0.0,0.0189949915241177,0.0187096088435374,0.021234772978959,3.691140447050002,0.0426517215034519,0.0393871694044969,7.973342674060342,7.977493046054572,1,0
