id,defensivelinezonePlayers,deepzonePlayers,hookzonePlayers,curlzonePlayers,flatzonePlayers,defenseArea,defenseAreaCoverDefenders,width,height,numberQBs,numberWRs,numberTEs,numberRBs,numberFBs,numberOffensivePlayersAnotherPosition,numberSafeties,numberLBs,numberCBs,strongSide,numberPlayersDefenseStrongSide,numberPlayersDefenseWeakSide,numberPlayersOffenseStrongSide,numberPlayersOffenseWeakSide,differenceOffenseVsDefenseWidth,differenceOffenseVsDefenseStrongSide,differenceOffenseVsDefenseWeakSide,HeightByWeightDeep,HeightByWeightHook,HeightByWeightCurl,HeightByWeightFlat,WeightByArea,density,densityNoLine,densityInsidePoints,densityInsidePointsNoLine
2018090600:320:1,1,0,3,3,1,187.1251,153.2002,27.8,13.29,1,3,1,1,0,0,2,3,3,left,3,5,3,2,-4.82,0,-3,0.0,0.0189949915241177,0.0195365646258503,0.0212790697674418,4.281978744153076,0.0427521481618446,0.0456918463552919,7.978623925919078,7.980417780133446
2018090600:344:1,1,0,3,2,2,216.25454999999997,215.8035,36.24,11.79,1,2,2,1,0,0,2,3,3,right,5,3,3,2,-0.3600000000000065,-2,-1,0.0,0.018343064086476,0.0196875,0.021234772978959,3.0398024128431653,0.0369934412940675,0.0324369159907045,7.972254919029449,7.976830774292354
2018090600:402:1,0,1,2,4,0,188.29835000000008,188.29835000000008,25.55,13.71,1,3,1,1,0,0,2,2,3,left,5,2,4,1,-3.16,-1,-1,0.0196774193548387,0.0176833213515456,0.0210083435277926,0.0,3.4466579234496733,0.0371750469401351,0.0371750469401351,6.97344639504276,6.97344639504276
2018090600:752:1,1,0,3,2,2,233.4782500000001,185.9632,36.4,12.46,1,3,1,1,0,0,2,3,3,left,4,4,3,2,-0.2899999999999991,-1,-2,0.0,0.0189949915241177,0.0187096088435374,0.021234772978959,3.527579650167345,0.0342644336249736,0.0376418560231271,7.982867783187513,7.973112959983481
2018090600:949:1,0,0,2,3,2,129.4869,129.4869,32.42,7.890000000000001,1,3,1,1,0,0,3,1,3,right,4,3,3,2,1.4600000000000009,-1,-1,0.0,0.0184835694905034,0.0210353812169378,0.020744514106583,4.896248191902038,0.054059522623524,0.054059522623524,6.969108844215129,6.969108844215129
2018090600:1628:1,1,0,3,2,2,187.5656999999996,177.72284999999985,33.59,10.959999999999994,1,3,1,1,0,0,2,3,3,right,4,4,3,2,-0.0999999999999943,-1,-2,0.0,0.0189949915241177,0.0187096088435374,0.021234772978959,3.691140447050002,0.0426517215034519,0.0393871694044969,7.973342674060342,7.977493046054573
2018090600:1680:1,1,1,2,3,1,237.5755,199.6403,31.660000000000004,15.649999999999991,1,3,1,1,0,0,2,3,3,left,5,3,3,2,-3.91,-2,-1,0.0208333333333333,0.0184193580344759,0.0193075396825396,0.0212790697674418,3.285909708610937,0.0336735058960204,0.0350630609150557,7.98316324705199,7.984972973893548
2018090600:1715:1,2,0,2,2,2,239.66540000000032,235.76910000000032,35.82,12.990000000000007,1,3,1,1,0,0,2,3,3,right,5,3,3,2,0.5799999999999983,-2,-1,0.0,0.0185340136054421,0.0196875,0.021234772978959,2.34551516716991,0.0333798704360328,0.0254486274918977,7.974965097172975,7.978792810423418
2018090600:1894:1,0,0,3,3,1,183.7804000000001,183.7804000000001,29.68,11.32,1,3,1,1,0,0,2,2,3,left,5,2,3,2,0.9699999999999988,-2,0,0.0,0.0185313051434546,0.0208163459933719,0.0210344827586206,3.531388548506803,0.0380889365786558,0.0380889365786558,6.972793616729532,6.972793616729532
2018090600:2116:1,1,0,3,3,1,207.86099999999996,203.62870000000015,29.42,14.269999999999996,1,3,1,1,0,0,2,3,3,left,5,3,4,1,-0.1999999999999993,-1,-2,0.0,0.0192240164674283,0.0193370708748615,0.0211904761904761,3.221549811004045,0.038487258312045,0.0343762937149821,7.975945463554972,7.980356403591439
2018090600:2260:1,1,0,3,3,1,182.6504500000001,180.16585000000003,28.82,12.38000000000001,1,2,2,1,0,0,2,3,3,left,4,4,4,1,-0.1899999999999977,0,-3,0.0,0.0189949915241177,0.0195660958181722,0.0211904761904761,3.641089584957415,0.0437995088432576,0.038853090083387,7.972625306972964,7.977798234238064
2018090600:2811:1,2,0,3,3,0,167.9199,161.87769999999995,23.83,14.06,1,3,1,1,0,0,2,3,3,left,4,4,3,2,-2.530000000000001,-1,-2,0.0,0.0201017441860465,0.0198653353814644,0.0,3.385271720564353,0.0476417625308257,0.0370650188382958,7.958313457785527,7.96911248430142
2018090600:2980:1,0,0,3,2,2,83.76149999999996,83.76149999999996,34.89,3.839999999999996,1,3,1,1,0,0,2,2,3,left,5,2,4,1,1.4200000000000017,-1,-1,0.0,0.0183480206859766,0.0212721729490022,0.020744514106583,7.748189800803476,0.083570614184321,0.083570614184321,6.9403067041540565,6.9403067041540565
2018090600:3066:1,0,0,3,3,1,185.50219999999987,185.50219999999987,26.92,12.22,1,3,1,1,0,0,2,2,3,left,4,3,3,2,-5.560000000000006,-1,-1,0.0,0.0189949915241177,0.0202207918050941,0.0212790697674418,3.471656939917696,0.0377354015208445,0.0377354015208445,6.97843691341666,6.97843691341666
2018090600:4258:1,0,1,3,2,1,127.83320000000002,127.83320000000002,29.39,8.360000000000007,1,3,1,1,0,0,3,1,3,right,5,2,3,2,4.280000000000001,-2,0,0.0202272727272727,0.0191763122446053,0.0213858093126385,0.0210344827586206,4.959587963064368,0.0547588576363573,0.0547588576363573,6.960886530259745,6.960886530259745
2018090900:95:1,1,0,3,2,1,212.99925,159.47594999999995,28.550000000000004,12.269999999999996,1,2,1,1,0,1,2,3,2,right,5,2,3,2,-1.7100000000000044,-2,0,0.0,0.0188328091277238,0.0206257264626113,0.0207954545454545,3.54285395384069,0.0328639654834465,0.0376232278283967,6.976525738940396,6.968647310143003
2018090900:210:1,0,0,3,3,1,145.14704999999998,145.14704999999998,27.67,8.200000000000003,1,2,2,1,0,0,2,3,2,right,4,3,3,2,-2.52,-1,-1,0.0,0.0188328091277238,0.0193060398639631,0.0207954545454545,4.657345774509369,0.0482269532863396,0.0482269532863396,6.965552176224043,6.965552176224043
2018090900:232:1,0,0,4,2,1,150.0569499999999,150.0569499999999,26.83,7.819999999999993,1,3,1,1,0,0,2,2,3,right,4,3,3,2,-3.330000000000002,-1,-1,0.0,0.0192970206388963,0.0206257264626113,0.0207954545454545,4.345017008542427,0.0466489556131855,0.0466489556131855,6.960015180902984,6.960015180902984
2018090900:553:1,3,0,2,1,2,226.88914999999983,190.4968000000001,35.3,12.699999999999996,1,4,0,1,0,0,2,3,3,right,4,4,3,2,-1.0999999999999943,-1,-2,0.0,0.0206257264626113,0.0210344827586206,0.0207425548589341,2.2992512210178853,0.0352595088835231,0.0262471600572817,7.977962806947798,7.979002271954174
2018090900:720:1,0,0,2,4,1,185.03335,185.03335,27.51,12.340000000000003,1,3,1,1,0,0,2,2,3,right,5,2,3,2,-1.259999999999998,-2,0,0.0,0.0193403048169985,0.0199661813049629,0.0206896551724137,3.523689107936488,0.0378310180299929,0.0378310180299929,6.972977844264291,6.972977844264291
2018090900:742:1,1,0,2,3,2,222.32919999999987,198.96819999999985,30.16,12.759999999999998,1,3,1,1,0,0,2,3,3,right,5,3,3,2,7.590000000000003,-2,-1,0.0,0.0193403048169985,0.0208045977011494,0.0190702936444086,3.27690555576218,0.0359826779388402,0.0351815013655448,7.97301299154587,7.974870356167468
2018090900:1906:1,0,0,3,4,0,166.8338,166.8338,23.980000000000004,11.409999999999997,1,2,2,1,0,0,2,3,2,right,4,3,4,1,-1.6900000000000048,0,-2,0.0,0.0188328091277238,0.0196783935343359,0.0,4.051936717859331,0.0419579245932179,0.0419579245932179,6.9760240430895895,6.9760240430895895
2018090900:2821:1,2,0,1,4,1,219.9157,190.3318,30.42,11.28,1,3,1,1,0,0,2,3,3,right,5,3,3,2,-1.5000000000000036,-2,-1,0.0,0.0166371681415929,0.0198252591706539,0.0205617977528089,2.96850027163091,0.0363775755891916,0.0315238966898857,7.972716818308106,7.973730086091762
2018090900:3210:1,1,0,4,3,1,133.05014999999986,132.62704999999983,28.03,9.079999999999998,1,2,2,1,0,0,3,4,2,right,5,4,3,2,7.230000000000004,-2,-2,0.0,0.0176374401994924,0.0196630723692159,0.0192631578947368,6.031952003757913,0.0676436666925968,0.0603195200375791,8.954904222204936,8.962300299976514
2018090900:4093:1,1,0,2,3,2,248.3284499999999,196.58795000000003,33.71,12.450000000000005,1,2,2,1,0,0,3,3,2,right,5,3,3,2,-0.1700000000000017,-2,-1,0.0,0.0177319723122754,0.0194044464719434,0.0207425548589341,3.347102403784158,0.0322153985981066,0.0356074723806825,7.979865375876184,7.974566091156655
2018090901:157:1,2,0,3,3,0,187.328,148.36989999999997,27.64,11.809999999999995,1,2,2,1,0,0,1,4,3,right,4,4,3,2,-0.9200000000000016,-1,-2,0.0,0.0185509711130829,0.0194897244653445,0.0,3.936108334642,0.0427058421592073,0.0404394691915274,7.967970618380594,7.973040353872315
2018090901:291:1,0,0,4,3,2,241.71705,241.71705,33.290000000000006,11.68,1,3,1,1,0,0,2,3,4,left,5,4,3,2,1.039999999999992,-2,-2,0.0,0.0177751829808713,0.0195486210634169,0.0205081716036772,3.6695797834699695,0.0372336167432127,0.0372336167432127,8.975177588837859,8.975177588837859
2018090901:493:1,1,0,1,4,2,215.47284999999977,173.67884999999995,29.910000000000004,12.819999999999991,1,3,1,1,0,0,1,4,3,right,4,4,3,2,-3.5500000000000007,-1,-2,0.0,0.0174528301886792,0.0186973810574104,0.0205081716036772,3.9325456150820903,0.0371276474043017,0.0403042742394943,7.976795220372312,7.976968986148861
2018090901:523:1,2,0,3,1,2,237.97545,168.4889999999998,33.82,13.22,1,2,1,2,0,0,1,4,3,left,5,3,3,2,1.3800000000000026,-2,-1,0.0,0.0180760641691732,0.0210843373493975,0.0205081716036772,3.3770750612799687,0.033616913005102,0.0356106333351139,7.978989429371811,7.982194683332443
2018090901:566:1,1,0,3,3,2,185.5722000000003,175.9834000000002,33.95,10.64,1,3,1,1,0,0,2,3,4,left,5,4,3,2,0.4499999999999957,-2,-2,0.0,0.018056969120694,0.0195486210634169,0.0205081716036772,4.392459743362154,0.048498643654599,0.0454588330490261,8.973056309080778,8.97158822934436
2018090901:1516:1,1,1,3,2,0,173.40020000000018,159.7454000000001,19.53,17.860000000000014,1,1,2,1,1,0,2,3,2,right,4,3,4,1,-1.6199999999999974,0,-2,0.0202247191011235,0.0169007591219966,0.0193277327695349,0.0,3.7997964260629695,0.0403690422502395,0.0375597669792056,6.965397963785509,6.962440233020795
2018090901:2055:1,1,0,4,2,1,177.74189999999984,173.9973999999997,26.64,12.63000000000001,1,2,2,1,0,0,1,4,3,right,4,4,3,2,-1.4499999999999993,-1,-2,0.0,0.0177895042672308,0.0196660482374768,0.0205617977528089,4.011554195637413,0.0450090833956428,0.0402304862026674,7.9718693228777235,7.971263938426666
2018090901:2522:1,1,1,4,1,1,201.3196000000001,186.46079999999984,25.23,14.560000000000002,1,2,2,1,0,0,1,4,3,right,5,3,4,1,-2.0100000000000016,-1,-2,0.0201086956521739,0.0174817181092893,0.0204545454545454,0.0205617977528089,3.743414165336632,0.0397378099300813,0.0375414028042355,7.975163868793699,7.978547769826151
2018090901:2570:1,2,0,2,2,2,213.6168,207.8750999999999,32.82,13.310000000000002,1,2,2,1,0,0,1,4,3,right,4,4,4,1,-0.0700000000000002,0,-3,0.0,0.0187807629204265,0.0170734285949064,0.0205081716036772,2.809379285926984,0.0374502379962624,0.0288634858143183,7.981274881001869,7.985568257092841
2018090901:3325:1,2,0,3,3,1,308.72310000000004,308.72310000000004,26.910000000000004,14.5,1,3,1,1,0,0,2,3,4,right,6,3,3,2,-3.9900000000000055,-3,-1,0.0,0.0195486210634169,0.0196019268951599,0.0205617977528089,2.108685744604145,0.0291523374830066,0.0226740402645607,8.983804256953885,8.983804256953885
2018090901:3644:1,1,0,3,3,2,190.1509999999999,190.1509999999999,31.03,12.080000000000013,1,3,1,1,0,0,2,3,4,right,5,4,3,2,0.9699999999999988,-2,-2,0.0,0.0184270199307793,0.0195486210634169,0.0208691341705221,4.00734153383364,0.0473308055177201,0.0420718271268623,8.973705108045712,8.973705108045712
2018090901:4620:1,3,0,3,2,1,128.30724999999998,120.91129999999998,28.79,8.950000000000003,1,1,3,1,0,0,1,4,4,right,5,4,3,2,-2.6000000000000014,-2,-2,0.0,0.0188130256204204,0.0189215686274509,0.0205617977528089,4.805175364089213,0.0701441266958804,0.0496231535017818,8.968824832579608,8.97518842324911
2018090901:5233:1,1,0,3,3,2,226.29810000000012,202.2694500000002,33.57,12.39,1,3,1,1,0,0,2,3,4,right,6,3,3,2,-0.8000000000000043,-3,-1,0.0,0.0190117366837931,0.0185938535003177,0.0208691341705221,3.806803251800997,0.0397705504376748,0.0395512026161142,8.977905249756848,8.97528049836493
2018090902:527:1,0,0,2,4,1,149.45054999999996,149.45054999999996,27.85,10.519999999999996,1,3,1,1,0,0,1,2,4,left,3,4,3,2,-0.139999999999997,0,-2,0.0,0.0181389730958696,0.0195121387946593,0.0205617977528089,4.529926453934095,0.0468382351219182,0.0468382351219182,6.966544117770058,6.966544117770058
2018090902:575:1,0,0,4,2,1,181.35,181.35,29.81,11.059999999999995,1,2,1,2,0,0,1,3,3,left,4,3,3,2,-1.5699999999999967,-1,-1,0.0,0.0178029190033298,0.0199124778237729,0.021860465116279,3.826854149434795,0.0385993934381031,0.0385993934381031,6.977943203749655,6.977943203749655
2018090902:885:1,0,0,2,4,1,224.8363,224.8363,28.26,12.620000000000005,1,3,1,1,0,0,1,2,4,left,4,3,4,1,-2.6000000000000014,0,-2,0.0,0.0167591846600064,0.0203055983776163,0.0205617977528089,3.0021842558341336,0.0311337626530947,0.0311337626530947,6.982209278483946,6.982209278483946
2018090902:1969:1,0,0,2,3,2,137.18265,137.18265,31.040000000000003,7.520000000000003,1,3,1,1,0,0,1,2,4,right,4,3,3,2,1.5699999999999967,-1,-1,0.0,0.018716237033994,0.0188674505074866,0.021211131434544,4.854841337443182,0.0510268609040574,0.0510268609040574,6.963552242211388,6.963552242211388
2018090902:2686:1,0,0,3,3,1,206.45874999999995,206.45874999999995,27.43,10.53,1,3,1,1,0,0,2,2,3,left,4,3,4,1,-3.240000000000002,0,-2,0.0,0.0187380739415623,0.0199393810554524,0.0217857142857142,3.196764486852701,0.0339050778908619,0.0339050778908619,6.9757820872208125,6.9757820872208125
2018090902:2739:1,0,0,3,3,1,193.56014999999988,193.56014999999988,29.18,10.07,1,3,1,1,0,0,2,2,3,right,4,3,4,1,-1.4299999999999995,0,-2,0.0,0.0187380739415623,0.0199393810554524,0.0217857142857142,3.409792769844415,0.0361644687710771,0.0361644687710771,6.969001883910505,6.969001883910505
2018090902:2933:1,0,0,3,2,2,167.24769999999995,167.24769999999995,33.6,12.200000000000005,1,2,2,1,0,0,1,2,4,right,3,4,3,2,0.3500000000000014,0,-2,0.0,0.0183341891753106,0.019516129032258,0.021211131434544,3.982117541825688,0.0418540882774471,0.0418540882774471,6.976083378127173,6.976083378127173
2018090902:2955:1,0,0,2,4,1,151.24779999999984,151.24779999999984,30.239999999999995,9.909999999999997,1,4,0,1,0,0,1,2,4,left,4,3,4,1,-1.3299999999999912,0,-2,0.0,0.0173364485981308,0.0203055983776163,0.0205617977528089,4.403369834139741,0.0462816649233906,0.0462816649233906,6.960330001494237,6.960330001494237
2018090902:3092:1,0,0,4,2,1,156.97169999999997,156.97169999999997,26.82,12.15,1,1,2,1,0,0,1,3,3,right,4,3,3,1,-8.230000000000004,-1,-2,0.0,0.018091550972392,0.0201196085538238,0.0193548387096774,4.39569680394619,0.0445940255472801,0.0445940255472801,6.974517699687269,6.974517699687269
2018090902:4031:1,0,0,2,4,1,148.1698,148.1698,28.9,10.339999999999996,1,3,1,1,0,0,1,2,4,right,3,4,3,2,-0.7600000000000016,0,-2,0.0,0.018716237033994,0.0196157041596847,0.0205617977528089,4.49484307868405,0.0472430954216041,0.0472430954216041,6.979752959105027,6.979752959105027
2018090902:4055:1,0,0,2,3,2,174.1921999999999,174.1921999999999,32.29,10.479999999999997,1,3,1,1,0,0,1,2,4,left,4,3,3,2,-3.4700000000000024,-1,-1,0.0,0.018716237033994,0.0188674505074866,0.021211131434544,3.823362928994527,0.0401854962506932,0.0401854962506932,6.977036859285319,6.977036859285319
2018090903:194:1,0,0,4,3,0,100.11329999999997,100.11329999999997,21.6,8.89,1,3,1,1,0,0,2,2,3,right,4,3,4,1,-4.719999999999999,0,-2,0.0,0.0187082461611336,0.0195681702290897,0.0,6.852236416140516,0.0699207797565358,0.0699207797565358,6.960045268710551,6.960045268710551
2018090903:333:1,1,0,2,3,2,229.61864999999997,168.51354999999973,32.03,14.159999999999997,1,2,1,2,0,0,2,4,2,left,4,4,2,3,-0.4300000000000032,-2,-1,0.0,0.0180778495038057,0.0178456955744042,0.0206923890063424,4.088691977588753,0.0348403755531181,0.0415396862744866,7.982579812223441,7.976263036414579
2018090903:762:1,2,0,2,3,1,168.6621999999998,123.44789999999986,30.380000000000003,8.36,1,2,2,1,0,0,2,4,2,right,4,4,3,2,1.09,-1,-2,0.0,0.0180778495038057,0.0188228987993138,0.0214285714285714,4.682137160696947,0.0474320861461549,0.0486034999380305,7.964425935390384,7.96759766670798
2018090903:3213:1,2,0,3,2,2,216.90214999999992,209.39774999999997,30.84,12.22,1,3,1,1,0,0,2,4,3,right,6,3,3,2,-1.3399999999999963,-3,-1,0.0,0.0182933767749465,0.0191978609625668,0.0211794019933554,3.1471207307623894,0.0414933646346981,0.0334292035134093,8.976948130758501,8.980897597992337
2018090903:3264:1,1,0,2,4,1,168.54795,148.11605,28.06,10.240000000000002,1,2,2,1,0,0,2,4,2,right,4,4,3,2,-2.5899999999999928,-1,-2,0.0,0.0174063277029923,0.0188336689448462,0.0209302325581395,4.651757861487664,0.0474642379216122,0.0472602395216453,7.970334851298992,7.966242686055968
2018090903:3507:1,0,0,3,3,1,209.6476000000001,209.6476000000001,29.32,13.690000000000005,1,3,1,1,0,0,2,2,3,right,4,3,3,2,-2.4099999999999966,-1,-1,0.0,0.0183313695848709,0.0197313982876292,0.0206896551724137,3.2339983858627512,0.0333893638658396,0.0333893638658396,6.980920363505234,6.980920363505234
2018090903:3755:1,0,0,3,3,1,197.59594999999985,197.59594999999985,28.6,12.029999999999994,1,3,1,1,0,0,2,2,3,right,4,3,3,2,-3.270000000000003,-1,-1,0.0,0.0186518112080422,0.0189641355117545,0.0206896551724137,3.4717310754597985,0.0354258273006101,0.0354258273006101,6.974695837642422,6.974695837642422
2018090903:3777:1,0,0,3,3,1,222.2335,222.2335,27.71,12.419999999999996,1,3,1,1,0,0,2,2,3,right,4,3,3,2,-5.539999999999999,-1,-1,0.0,0.0186518112080422,0.0189641355117545,0.0206896551724137,3.0868433427003583,0.0314984014561261,0.0314984014561261,6.9775011418170525,6.9775011418170525
2018090903:4028:1,0,0,4,3,0,198.3145000000001,198.3145000000001,26.51,11.820000000000007,1,3,1,1,0,0,1,2,4,left,5,2,3,2,-6.899999999999995,-2,0,0.0,0.0189974715940015,0.0203956639939118,0.0,3.353259595238874,0.035297469423567,0.035297469423567,6.974787521840309,6.974787521840309
2018090905:406:1,1,0,3,2,1,145.4245,94.71009999999984,26.800000000000004,10.53,1,1,2,1,1,0,1,3,3,right,4,3,3,2,-5.370000000000001,-1,-1,0.0,0.0181765829634046,0.0214880952380952,0.0214285714285714,5.944455765541382,0.0481349428741374,0.063351215973798,6.972494318357636,6.947207320021835
2018090905:451:1,0,0,3,2,2,134.32215000000005,134.32215000000005,33.370000000000005,7.789999999999999,1,2,1,1,1,0,1,3,3,right,4,3,2,3,-0.710000000000008,-2,0,0.0,0.0184571292904626,0.0184222818525144,0.0216071428571428,5.062456192072564,0.0521135196242763,0.0521135196242763,6.962776057411231,6.962776057411231
2018090905:475:1,0,0,3,3,1,125.8469499999998,125.8469499999998,30.419999999999995,8.289999999999992,1,3,1,1,0,0,1,2,4,right,4,3,3,2,-3.389999999999993,-1,-1,0.0,0.0181765829634046,0.0213368910782703,0.0214285714285714,5.165003998905028,0.0556231199882079,0.0556231199882079,6.968215360006738,6.968215360006738
2018090905:882:1,1,1,2,2,1,194.48605000000003,156.22300000000004,25.31,15.61,1,2,2,1,0,0,1,3,3,right,5,2,3,2,0.6800000000000033,-2,0,0.0211904761904761,0.0167992651170221,0.0195434259969143,0.0214285714285714,3.597421634458433,0.0359922986764346,0.038406636666816,6.974291215231118,6.961593363333184
2018090905:963:1,1,0,2,2,2,153.36594999999983,112.058,33.11,9.929999999999993,1,2,2,1,0,0,1,2,4,left,4,3,3,2,1.3200000000000074,-1,-1,0.0,0.01872582047381,0.0204634779384501,0.0214880952380952,4.827857002623642,0.045642464966963,0.0535437005836263,6.9739185914474495,6.964304199610916
2018090905:1047:1,2,0,3,2,1,219.3990999999999,171.04270000000002,28.62,13.96,1,2,1,2,0,0,1,2,5,left,4,4,3,2,-1.2899999999999991,-1,-2,0.0,0.0204252643620675,0.0214880952380952,0.0214285714285714,3.028483530720691,0.0364632307060512,0.0350789598152975,7.977210480808718,7.970767533487252
