,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,gameId,playId,playDirection,route
0,2018-10-26T00:27:01.200Z,38.47,35.03,0.0,0.0,0.0,96.28,149.52,None,2649.0,Danny Amendola,80.0,WR,1,away,2018102500,103,right,GO
1,2018-10-26T00:27:01.200Z,47.22,43.22,0.43,0.66,0.04,238.49,70.93,None,496735.0,Kareem Jackson,25.0,CB,1,home,2018102500,103,right,
2,2018-10-26T00:27:01.200Z,44.05,14.36,0.15,1.01,0.02,281.24,272.67,None,2495872.0,Johnathan Joseph,24.0,CB,1,home,2018102500,103,right,
3,2018-10-26T00:27:01.200Z,34.97,21.04,0.0,0.0,0.0,90.2,11.64,None,2506404.0,Frank Gore,21.0,RB,1,away,2018102500,103,right,ANGLE
4,2018-10-26T00:27:01.200Z,35.29,23.72,0.0,0.0,0.0,90.94,95.36,None,2533436.0,Brock Osweiler,8.0,QB,1,away,2018102500,103,right,
5,2018-10-26T00:27:01.200Z,44.3,32.72,0.08,0.43,0.01,266.04,318.71,None,2540180.0,Tyrann Mathieu,32.0,FS,1,home,2018102500,103,right,
6,2018-10-26T00:27:01.200Z,38.92,43.61,0.0,0.0,0.0,86.85,87.09,None,2552409.0,DeVante Parker,11.0,WR,1,away,2018102500,103,right,GO
7,2018-10-26T00:27:01.200Z,43.68,26.19,0.11,0.03,0.01,281.54,278.14,None,2552490.0,Benardrick McKinney,55.0,ILB,1,home,2018102500,103,right,
8,2018-10-26T00:27:01.200Z,35.13,26.92,0.02,0.01,0.0,103.73,235.5,None,2556190.0,Jakeem Grant,19.0,WR,1,away,2018102500,103,right,OUT
9,2018-10-26T00:27:01.200Z,43.74,21.89,0.03,0.04,0.0,265.03,210.02,None,2558094.0,Zach Cunningham,41.0,ILB,1,home,2018102500,103,right,
10,2018-10-26T00:27:01.200Z,52.8,18.24,0.17,0.1,0.02,276.86,201.8,None,2558853.0,Mike Tyson,34.0,CB,1,home,2018102500,103,right,
11,2018-10-26T00:27:01.200Z,51.03,34.08,0.15,0.09,0.01,260.97,115.48,None,2560851.0,Justin Reid,20.0,DB,1,home,2018102500,103,right,
12,2018-10-26T00:27:01.200Z,39.28,16.98,0.0,0.0,0.0,89.57,147.7,None,2560994.0,Mike Gesicki,86.0,TE,1,away,2018102500,103,right,CROSS
13,2018-10-26T00:27:01.200Z,39.69,23.68,0.0,0.0,0.0,,,None,,Football,,,1,football,2018102500,103,right,
798,2018-10-26T00:28:52.500Z,57.01,18.36,0.0,0.0,0.0,86.26,95.67,None,2649.0,Danny Amendola,80.0,WR,1,away,2018102500,174,right,OUT
799,2018-10-26T00:28:52.500Z,64.8,43.65,0.22,0.13,0.02,246.44,103.2,None,496735.0,Kareem Jackson,25.0,CB,1,home,2018102500,174,right,
800,2018-10-26T00:28:52.500Z,65.91,11.21,0.34,0.08,0.03,265.23,178.82,None,2495872.0,Johnathan Joseph,24.0,CB,1,home,2018102500,174,right,
801,2018-10-26T00:28:52.500Z,51.94,29.78,0.0,0.0,0.0,82.91,167.7,None,2506404.0,Frank Gore,21.0,RB,1,away,2018102500,174,right,OUT
802,2018-10-26T00:28:52.500Z,57.39,29.76,0.01,0.01,0.0,86.78,220.04,None,2533436.0,Brock Osweiler,8.0,QB,1,away,2018102500,174,right,
