,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,gameId,playId,playDirection,route
0,2018-12-22T21:31:56.500Z,40.71,23.78,0.0,0.0,0.0,78.1,21.27,None,264.0,Josh Johnson,8.0,QB,1,away,2018122200,88,right,
1,2018-12-22T21:31:56.500Z,46.31,24.08,0.66,0.52,0.07,274.14,196.09,None,2354.0,Wesley Woodyard,59.0,ILB,1,home,2018122200,88,right,
2,2018-12-22T21:31:56.500Z,43.03,18.3,0.01,0.01,0.01,299.04,20.48,None,496828.0,Derrick Morgan,91.0,OLB,1,home,2018122200,88,right,
3,2018-12-22T21:31:56.500Z,34.04,23.91,0.0,0.0,0.0,120.07,166.34,None,2507164.0,Adrian Peterson,26.0,RB,1,away,2018122200,88,right,OUT
4,2018-12-22T21:31:56.500Z,38.85,19.78,3.31,1.4,0.34,143.48,175.9,None,2532841.0,Michael Floyd,17.0,WR,1,away,2018122200,88,right,GO
5,2018-12-22T21:31:56.500Z,54.92,31.02,0.29,0.5,0.03,265.07,102.08,None,2539320.0,Kenny Vaccaro,24.0,SS,1,home,2018122200,88,right,
6,2018-12-22T21:31:56.500Z,42.97,31.23,1.13,2.52,0.12,252.23,246.71,None,2550613.0,Malcolm Butler,21.0,CB,1,home,2018122200,88,right,
7,2018-12-22T21:31:56.500Z,40.83,30.35,0.0,0.0,0.0,93.77,344.24,None,2552415.0,Jamison Crowder,80.0,WR,1,away,2018122200,88,right,CROSS
8,2018-12-22T21:31:56.500Z,53.52,15.83,0.85,0.26,0.08,256.13,113.58,None,2555158.0,Kevin Byard,31.0,FS,1,home,2018122200,88,right,
9,2018-12-22T21:31:56.500Z,40.99,10.76,0.0,0.0,0.0,87.19,324.38,None,2555343.0,Josh Doctson,18.0,WR,1,away,2018122200,88,right,GO
10,2018-12-22T21:31:56.500Z,45.08,21.02,1.78,2.01,0.19,252.16,179.59,None,2555551.0,LeShaun Sims,36.0,CB,1,home,2018122200,88,right,
11,2018-12-22T21:31:56.500Z,40.15,27.91,0.0,0.0,0.0,84.88,226.91,None,2557886.0,Jeremy Sprinkle,87.0,TE,1,away,2018122200,88,right,
12,2018-12-22T21:31:56.500Z,46.66,26.31,1.04,1.97,0.11,276.54,318.15,None,2558005.0,Jayon Brown,55.0,ILB,1,home,2018122200,88,right,
13,2018-12-22T21:31:56.500Z,43.33,10.48,0.0,0.0,0.0,288.05,213.91,None,2558065.0,Adoree' Jackson,25.0,CB,1,home,2018122200,88,right,
14,2018-12-22T21:31:56.500Z,42.86,28.89,0.01,0.01,0.0,250.62,278.41,None,2560784.0,Harold Landry,58.0,OLB,1,home,2018122200,88,right,
15,2018-12-22T21:31:56.500Z,41.98,23.79,0.0,0.0,0.0,,,None,,Football,,,1,football,2018122200,88,right,
1280,2018-12-22T21:32:44.900Z,37.06,23.94,0.18,0.14,0.02,92.21,59.78,None,264.0,Josh Johnson,8.0,QB,1,away,2018122200,110,right,
1281,2018-12-22T21:32:44.900Z,43.43,26.43,0.87,0.61,0.08,266.57,212.23,None,2354.0,Wesley Woodyard,59.0,ILB,1,home,2018122200,110,right,
1282,2018-12-22T21:32:44.900Z,42.77,16.94,0.01,0.33,0.0,275.55,248.62,None,496828.0,Derrick Morgan,91.0,OLB,1,home,2018122200,110,right,
1283,2018-12-22T21:32:44.900Z,40.07,36.76,0.0,0.0,0.0,83.87,51.94,None,2532841.0,Michael Floyd,17.0,WR,1,away,2018122200,110,right,HITCH
1284,2018-12-22T21:32:44.900Z,57.11,28.19,1.06,0.1,0.11,233.53,150.4,None,2539320.0,Kenny Vaccaro,24.0,SS,1,home,2018122200,110,right,
1285,2018-12-22T21:32:44.900Z,37.15,26.62,0.2,0.38,0.02,134.33,248.78,None,2540011.0,Chris Thompson,25.0,RB,1,away,2018122200,110,right,FLAT
1286,2018-12-22T21:32:44.900Z,42.42,43.44,0.0,0.0,0.01,255.86,210.97,None,2550613.0,Malcolm Butler,21.0,CB,1,home,2018122200,110,right,
1287,2018-12-22T21:32:44.900Z,40.8,31.64,0.0,0.0,0.0,97.96,214.98,None,2552415.0,Jamison Crowder,80.0,WR,1,away,2018122200,110,right,CORNER
1288,2018-12-22T21:32:44.900Z,45.98,19.08,0.83,1.4,0.09,263.87,318.45,None,2555158.0,Kevin Byard,31.0,FS,1,home,2018122200,110,right,
1289,2018-12-22T21:32:44.900Z,40.2,43.59,0.0,0.0,0.0,92.1,161.11,None,2555343.0,Josh Doctson,18.0,WR,1,away,2018122200,110,right,GO
1290,2018-12-22T21:32:44.900Z,46.94,37.32,0.44,0.45,0.04,252.3,117.43,None,2555551.0,LeShaun Sims,36.0,CB,1,home,2018122200,110,right,
